date,sales,day_of_week,month,year,is_weekend,season
2022-01-01,355,Saturday,1,2022,1,Winter
2022-01-02,303,Sunday,1,2022,1,Winter
2022-01-03,239,Monday,1,2022,0,Winter
2022-01-04,246,Tuesday,1,2022,0,Winter
2022-01-05,232,Wednesday,1,2022,0,Winter
2022-01-06,232,Thursday,1,2022,0,Winter
2022-01-07,294,Friday,1,2022,0,Winter
2022-01-08,358,Saturday,1,2022,1,Winter
2022-01-09,301,Sunday,1,2022,1,Winter
2022-01-10,239,Monday,1,2022,0,Winter
2022-01-11,231,Tuesday,1,2022,0,Winter
2022-01-12,231,Wednesday,1,2022,0,Winter
2022-01-13,237,Thursday,1,2022,0,Winter
2022-01-14,266,Friday,1,2022,0,Winter
2022-01-15,338,Saturday,1,2022,1,Winter
2022-01-16,301,Sunday,1,2022,1,Winter
2022-01-17,227,Monday,1,2022,0,Winter
2022-01-18,237,Tuesday,1,2022,0,Winter
2022-01-19,228,Wednesday,1,2022,0,Winter
2022-01-20,224,Thursday,1,2022,0,Winter
2022-01-21,294,Friday,1,2022,0,Winter
2022-01-22,351,Saturday,1,2022,1,Winter
2022-01-23,306,Sunday,1,2022,1,Winter
2022-01-24,224,Monday,1,2022,0,Winter
2022-01-25,231,Tuesday,1,2022,0,Winter
2022-01-26,236,Wednesday,1,2022,0,Winter
2022-01-27,226,Thursday,1,2022,0,Winter
2022-01-28,285,Friday,1,2022,0,Winter
2022-01-29,348,Saturday,1,2022,1,Winter
2022-01-30,304,Sunday,1,2022,1,Winter
2022-01-31,231,Monday,1,2022,0,Winter
2022-02-01,146,Tuesday,2,2022,0,Winter
2022-02-02,131,Wednesday,2,2022,0,Winter
2022-02-03,122,Thursday,2,2022,0,Winter
2022-02-04,164,Friday,2,2022,0,Winter
2022-02-05,187,Saturday,2,2022,1,Winter
2022-02-06,172,Sunday,2,2022,1,Winter
2022-02-07,115,Monday,2,2022,0,Winter
2022-02-08,120,Tuesday,2,2022,0,Winter
2022-02-09,133,Wednesday,2,2022,0,Winter
2022-02-10,137,Thursday,2,2022,0,Winter
2022-02-11,159,Friday,2,2022,0,Winter
2022-02-12,196,Saturday,2,2022,1,Winter
2022-02-13,168,Sunday,2,2022,1,Winter
2022-02-14,119,Monday,2,2022,0,Winter
2022-02-15,125,Tuesday,2,2022,0,Winter
2022-02-16,128,Wednesday,2,2022,0,Winter
2022-02-17,140,Thursday,2,2022,0,Winter
2022-02-18,160,Friday,2,2022,0,Winter
2022-02-19,183,Saturday,2,2022,1,Winter
2022-02-20,173,Sunday,2,2022,1,Winter
2022-02-21,128,Monday,2,2022,0,Winter
2022-02-22,126,Tuesday,2,2022,0,Winter
2022-02-23,136,Wednesday,2,2022,0,Winter
2022-02-24,140,Thursday,2,2022,0,Winter
2022-02-25,165,Friday,2,2022,0,Winter
2022-02-26,191,Saturday,2,2022,1,Winter
2022-02-27,169,Sunday,2,2022,1,Winter
2022-02-28,134,Monday,2,2022,0,Winter
2022-03-01,109,Tuesday,3,2022,0,Spring
2022-03-02,97,Wednesday,3,2022,0,Spring
2022-03-03,100,Thursday,3,2022,0,Spring
2022-03-04,113,Friday,3,2022,0,Spring
2022-03-05,142,Saturday,3,2022,1,Spring
2022-03-06,138,Sunday,3,2022,1,Spring
2022-03-07,112,Monday,3,2022,0,Spring
2022-03-08,101,Tuesday,3,2022,0,Spring
2022-03-09,109,Wednesday,3,2022,0,Spring
2022-03-10,104,Thursday,3,2022,0,Spring
2022-03-11,117,Friday,3,2022,0,Spring
2022-03-12,155,Saturday,3,2022,1,Spring
2022-03-13,144,Sunday,3,2022,1,Spring
2022-03-14,101,Monday,3,2022,0,Spring
2022-03-15,114,Tuesday,3,2022,0,Spring
2022-03-16,81,Wednesday,3,2022,0,Spring
2022-03-17,108,Thursday,3,2022,0,Spring
2022-03-18,123,Friday,3,2022,0,Spring
2022-03-19,150,Saturday,3,2022,1,Spring
2022-03-20,133,Sunday,3,2022,1,Spring
2022-03-21,86,Monday,3,2022,0,Spring
2022-03-22,100,Tuesday,3,2022,0,Spring
2022-03-23,105,Wednesday,3,2022,0,Spring
2022-03-24,114,Thursday,3,2022,0,Spring
2022-03-25,118,Friday,3,2022,0,Spring
2022-03-26,146,Saturday,3,2022,1,Spring
2022-03-27,128,Sunday,3,2022,1,Spring
2022-03-28,109,Monday,3,2022,0,Spring
2022-03-29,104,Tuesday,3,2022,0,Spring
2022-03-30,98,Wednesday,3,2022,0,Spring
2022-03-31,106,Thursday,3,2022,0,Spring
2022-04-01,123,Friday,4,2022,0,Spring
2022-04-02,161,Saturday,4,2022,1,Spring
2022-04-03,127,Sunday,4,2022,1,Spring
2022-04-04,99,Monday,4,2022,0,Spring
2022-04-05,99,Tuesday,4,2022,0,Spring
2022-04-06,90,Wednesday,4,2022,0,Spring
2022-04-07,104,Thursday,4,2022,0,Spring
2022-04-08,124,Friday,4,2022,0,Spring
2022-04-09,153,Saturday,4,2022,1,Spring
2022-04-10,131,Sunday,4,2022,1,Spring
2022-04-11,91,Monday,4,2022,0,Spring
2022-04-12,99,Tuesday,4,2022,0,Spring
2022-04-13,99,Wednesday,4,2022,0,Spring
2022-04-14,96,Thursday,4,2022,0,Spring
2022-04-15,121,Friday,4,2022,0,Spring
2022-04-16,156,Saturday,4,2022,1,Spring
2022-04-17,148,Sunday,4,2022,1,Spring
2022-04-18,104,Monday,4,2022,0,Spring
2022-04-19,104,Tuesday,4,2022,0,Spring
2022-04-20,102,Wednesday,4,2022,0,Spring
2022-04-21,87,Thursday,4,2022,0,Spring
2022-04-22,123,Friday,4,2022,0,Spring
2022-04-23,154,Saturday,4,2022,1,Spring
2022-04-24,153,Sunday,4,2022,1,Spring
2022-04-25,101,Monday,4,2022,0,Spring
2022-04-26,105,Tuesday,4,2022,0,Spring
2022-04-27,102,Wednesday,4,2022,0,Spring
2022-04-28,93,Thursday,4,2022,0,Spring
2022-04-29,132,Friday,4,2022,0,Spring
2022-04-30,160,Saturday,4,2022,1,Spring
2022-05-01,140,Sunday,5,2022,1,Spring
2022-05-02,95,Monday,5,2022,0,Spring
2022-05-03,114,Tuesday,5,2022,0,Spring
2022-05-04,91,Wednesday,5,2022,0,Spring
2022-05-05,107,Thursday,5,2022,0,Spring
2022-05-06,141,Friday,5,2022,0,Spring
2022-05-07,146,Saturday,5,2022,1,Spring
2022-05-08,129,Sunday,5,2022,1,Spring
2022-05-09,103,Monday,5,2022,0,Spring
2022-05-10,99,Tuesday,5,2022,0,Spring
2022-05-11,90,Wednesday,5,2022,0,Spring
2022-05-12,103,Thursday,5,2022,0,Spring
2022-05-13,115,Friday,5,2022,0,Spring
2022-05-14,158,Saturday,5,2022,1,Spring
2022-05-15,126,Sunday,5,2022,1,Spring
2022-05-16,115,Monday,5,2022,0,Spring
2022-05-17,97,Tuesday,5,2022,0,Spring
2022-05-18,100,Wednesday,5,2022,0,Spring
2022-05-19,109,Thursday,5,2022,0,Spring
2022-05-20,114,Friday,5,2022,0,Spring
2022-05-21,156,Saturday,5,2022,1,Spring
2022-05-22,144,Sunday,5,2022,1,Spring
2022-05-23,90,Monday,5,2022,0,Spring
2022-05-24,104,Tuesday,5,2022,0,Spring
2022-05-25,105,Wednesday,5,2022,0,Spring
2022-05-26,109,Thursday,5,2022,0,Spring
2022-05-27,114,Friday,5,2022,0,Spring
2022-05-28,144,Saturday,5,2022,1,Spring
2022-05-29,138,Sunday,5,2022,1,Spring
2022-05-30,105,Monday,5,2022,0,Spring
2022-05-31,105,Tuesday,5,2022,0,Spring
2022-06-01,85,Wednesday,6,2022,0,Summer
2022-06-02,77,Thursday,6,2022,0,Summer
2022-06-03,101,Friday,6,2022,0,Summer
2022-06-04,126,Saturday,6,2022,1,Summer
2022-06-05,102,Sunday,6,2022,1,Summer
2022-06-06,97,Monday,6,2022,0,Summer
2022-06-07,86,Tuesday,6,2022,0,Summer
2022-06-08,73,Wednesday,6,2022,0,Summer
2022-06-09,88,Thursday,6,2022,0,Summer
2022-06-10,91,Friday,6,2022,0,Summer
2022-06-11,130,Saturday,6,2022,1,Summer
2022-06-12,117,Sunday,6,2022,1,Summer
2022-06-13,76,Monday,6,2022,0,Summer
2022-06-14,90,Tuesday,6,2022,0,Summer
2022-06-15,86,Wednesday,6,2022,0,Summer
2022-06-16,89,Thursday,6,2022,0,Summer
2022-06-17,114,Friday,6,2022,0,Summer
2022-06-18,122,Saturday,6,2022,1,Summer
2022-06-19,102,Sunday,6,2022,1,Summer
2022-06-20,76,Monday,6,2022,0,Summer
2022-06-21,76,Tuesday,6,2022,0,Summer
2022-06-22,82,Wednesday,6,2022,0,Summer
2022-06-23,86,Thursday,6,2022,0,Summer
2022-06-24,102,Friday,6,2022,0,Summer
